SingleCopyOG,Name,Product,Pathway,Orthogroup
OG0008487::H2,CYP77A3,Cytochrome P450 77A3,"Cutin, suberine and wax biosynthesis",OG0008487
OG0008933::H1,HTH,Protein HOTHEAD,"Cutin, suberine and wax biosynthesis",OG0008933
OG0008933::H2,HTH,Protein HOTHEAD,"Cutin, suberine and wax biosynthesis",OG0008933
OG0010320::H1,HHT1,Omega-hydroxypalmitate O-feruloyl transferase,"Cutin, suberine and wax biosynthesis",OG0010320
OG0010320::H2,HHT1,Omega-hydroxypalmitate O-feruloyl transferase,"Cutin, suberine and wax biosynthesis",OG0010320
OG0014475::NA,FAR2,Fatty acyl-CoA reductase 2%2C chloroplastic,"Cutin, suberine and wax biosynthesis",OG0014475
OG0023536::NA,At1g02190,Protein CER1-like 1,"Cutin, suberine and wax biosynthesis",OG0023536
OG0015457::NA,CYP86B1,Cytochrome P450 86B1,"Cutin, suberine and wax biosynthesis",OG0015457
OG0015340::NA,FAR5,Probable fatty acyl-CoA reductase 5,"Cutin, suberine and wax biosynthesis",OG0015340
OG0016857::NA,FAR5,Probable fatty acyl-CoA reductase 5,"Cutin, suberine and wax biosynthesis",OG0016857
OG0015702::NA,CYP86B1,Cytochrome P450 86B1,"Cutin, suberine and wax biosynthesis",OG0015702
OG0028958::NA,CYP704B1,Cytochrome P450 704B1,"Cutin, suberine and wax biosynthesis",OG0028958
OG0022571::NA,CYP704B1,Cytochrome P450 704B1,"Cutin, suberine and wax biosynthesis",OG0022571
OG0057742::NA,CYP96A15,Alkane hydroxylase MAH1,"Cutin, suberine and wax biosynthesis",OG0057742
OG0040065::NA,HHT1,Omega-hydroxypalmitate O-feruloyl transferase,"Cutin, suberine and wax biosynthesis",OG0040065
OG0057943::NA,CYP96A15,Alkane hydroxylase MAH1,"Cutin, suberine and wax biosynthesis",OG0057943
OG0000106::H1,BGLU24,Beta-glucosidase 24,Cyanoamino acid metabolism,OG0000106
OG0019083::H2,BGLU15,Beta-glucosidase 15,Cyanoamino acid metabolism,OG0019083
OG0000106::H2,BGLU15,Beta-glucosidase 15,Cyanoamino acid metabolism,OG0000106
OG0016882::H2,BGLU12,Beta-glucosidase 12,Cyanoamino acid metabolism,OG0016882
OG0040728::NA,BGLU12,Beta-glucosidase 12,Cyanoamino acid metabolism,OG0040728
OG0000154::H1,MJE1,Methyl jasmonate esterase 1,Cyanoamino acid metabolism,OG0000154
OG0000154::H2,MJE1,Methyl jasmonate esterase 1,Cyanoamino acid metabolism,OG0000154
OG0000400::H1,BACOVA_02659,Beta-glucosidase BoGH3B,Cyanoamino acid metabolism,OG0000400
OG0000400::H2,BACOVA_02659,Beta-glucosidase BoGH3B,Cyanoamino acid metabolism,OG0000400
OG0000649::H1,BGLU11,Beta-glucosidase 11,Cyanoamino acid metabolism,OG0000649
OG0000649::H2,BGLU11,Beta-glucosidase 11,Cyanoamino acid metabolism,OG0000649
OG0001207::H1,BGLU18,Beta-glucosidase 18,Cyanoamino acid metabolism,OG0001207
OG0001207::H2,BGLU47,Beta-glucosidase 47,Cyanoamino acid metabolism,OG0001207
OG0002122::H1,SHM2,Serine hydroxymethyltransferase 2%2C mitochondrial,Cyanoamino acid metabolism,OG0002122
OG0002254::H1,GGT3,Glutathione hydrolase 3,Cyanoamino acid metabolism,OG0002254
OG0002278::H1,At3g16150,Probable isoaspartyl peptidase/L-asparaginase 2,Cyanoamino acid metabolism,OG0002278
OG0002429::H1,BGLU6,Beta-glucosidase 6,Cyanoamino acid metabolism,OG0002429
OG0002429::H2,BGLU40,Beta-glucosidase 40,Cyanoamino acid metabolism,OG0002429
OG0003167::H1,BGLU44,Beta-glucosidase 44,Cyanoamino acid metabolism,OG0003167
OG0003484::H1,NIT4A,Bifunctional nitrilase/nitrile hydratase NIT4A,Cyanoamino acid metabolism,OG0003484
OG0003484::H2,NIT4B,Bifunctional nitrilase/nitrile hydratase NIT4B,Cyanoamino acid metabolism,OG0003484
OG0003781::H2,SHM7,Serine hydroxymethyltransferase 7,Cyanoamino acid metabolism,OG0003781
OG0003781::H1,SHM7,Serine hydroxymethyltransferase 7,Cyanoamino acid metabolism,OG0003781
OG0004011::H2,At1g73050,(R)-mandelonitrile lyase-like,Cyanoamino acid metabolism,OG0004011
OG0005213::H2,BACOVA_02659,Beta-glucosidase BoGH3B,Cyanoamino acid metabolism,OG0005213
OG0005678::H1,fmdA,Formamidase,Cyanoamino acid metabolism,OG0005678
OG0005678::H2,fmdA,Formamidase,Cyanoamino acid metabolism,OG0005678
OG0005678::NA,fmdA,Formamidase,Cyanoamino acid metabolism,OG0005678
OG0006519::H2,SHM4,Serine hydroxymethyltransferase 4,Cyanoamino acid metabolism,OG0006519
OG0006950::H2,SHM3,Serine hydroxymethyltransferase 3%2C chloroplastic,Cyanoamino acid metabolism,OG0006950
OG0011106::H2,BGLU42,Beta-glucosidase 42,Cyanoamino acid metabolism,OG0011106
OG0018772::NA,BGLU11,Beta-glucosidase 11,Cyanoamino acid metabolism,OG0018772
OG0042393::H2,BGLU42,Beta-glucosidase 42,Cyanoamino acid metabolism,OG0042393
OG0023283::H2,NIT4,Bifunctional nitrilase/nitrile hydratase NIT4,Cyanoamino acid metabolism,OG0023283
OG0013643::NA,BGLU42,Beta-glucosidase 42,Cyanoamino acid metabolism,OG0013643
OG0019083::NA,BGLU15,Beta-glucosidase 15,Cyanoamino acid metabolism,OG0019083
OG0020252::NA,SHM7,Serine hydroxymethyltransferase 7,Cyanoamino acid metabolism,OG0020252
OG0018287::NA,BGLU17,Beta-glucosidase 17,Cyanoamino acid metabolism,OG0018287
OG0000252::H1,CS26,S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)%2C chloroplastic,Cysteine and methionine metabolism,OG0000252
OG0032366::H1,CYSD1,Bifunctional L-3-cyanoalanine synthase/cysteine synthase D1,Cysteine and methionine metabolism,OG0032366
OG0000252::H2,,Cysteine synthase,Cysteine and methionine metabolism,OG0000252
OG0000252::NA,CYSD1,Bifunctional L-3-cyanoalanine synthase/cysteine synthase D1,Cysteine and methionine metabolism,OG0000252
OG0000426::H1,ACO3,1-aminocyclopropane-1-carboxylate oxidase 3,Cysteine and methionine metabolism,OG0000426
OG0000426::H2,ACO3,1-aminocyclopropane-1-carboxylate oxidase 3,Cysteine and methionine metabolism,OG0000426
OG0000426::NA,ACO1,1-aminocyclopropane-1-carboxylate oxidase 1,Cysteine and methionine metabolism,OG0000426
OG0000483::H1,SAMS1,S-adenosylmethionine synthase 1,Cysteine and methionine metabolism,OG0000483
OG0000483::H2,METK1,S-adenosylmethionine synthase 1,Cysteine and methionine metabolism,OG0000483
OG0000483::NA,SAMS1,S-adenosylmethionine synthase 1,Cysteine and methionine metabolism,OG0000483
OG0000742::H1,SPDSYN1,Spermidine synthase 1,Cysteine and methionine metabolism,OG0000742
OG0000742::H2,,Spermidine synthase 1,Cysteine and methionine metabolism,OG0000742
OG0001084::H2,CMT1,DNA (cytosine-5)-methyltransferase CMT1,Cysteine and methionine metabolism,OG0001084
OG0001084::H1,CMT2,DNA (cytosine-5)-methyltransferase CMT2,Cysteine and methionine metabolism,OG0001084
OG0001090::H1,SAMDC,S-adenosylmethionine decarboxylase proenzyme,Cysteine and methionine metabolism,OG0001090
OG0001090::H2,SAMDC,S-adenosylmethionine decarboxylase proenzyme,Cysteine and methionine metabolism,OG0001090
OG0001090::NA,SAMDC1,S-adenosylmethionine decarboxylase proenzyme,Cysteine and methionine metabolism,OG0001090
OG0001235::H1,METE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,Cysteine and methionine metabolism,OG0001235
OG0001235::H2,METE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,Cysteine and methionine metabolism,OG0001235
OG0001289::H2,SMT,Selenocysteine Se-methyltransferase,Cysteine and methionine metabolism,OG0001289
OG0001289::H1,HMT-2,Homocysteine S-methyltransferase 2,Cysteine and methionine metabolism,OG0001289
OG0029344::H1,HMT-2,Homocysteine S-methyltransferase 2,Cysteine and methionine metabolism,OG0029344
OG0001289::NA,HMT-2,Homocysteine S-methyltransferase 2,Cysteine and methionine metabolism,OG0001289
OG0016634::H1,PGDH2,D-3-phosphoglycerate dehydrogenase 2%2C chloroplastic,Cysteine and methionine metabolism,OG0016634
OG0001550::H2,PGDH2,D-3-phosphoglycerate dehydrogenase 2%2C chloroplastic,Cysteine and methionine metabolism,OG0001550
OG0016634::H2,PGDH2,D-3-phosphoglycerate dehydrogenase 2%2C chloroplastic,Cysteine and methionine metabolism,OG0016634
OG0014941::H2,PGDH2,D-3-phosphoglycerate dehydrogenase 2%2C chloroplastic,Cysteine and methionine metabolism,OG0014941
OG0001550::H1,PGDH1,D-3-phosphoglycerate dehydrogenase 1%2C chloroplastic,Cysteine and methionine metabolism,OG0001550
OG0039310::H2,PGDH1,D-3-phosphoglycerate dehydrogenase 1%2C chloroplastic,Cysteine and methionine metabolism,OG0039310
OG0001747::H1,ACS3,1-aminocyclopropane-1-carboxylate synthase 3,Cysteine and methionine metabolism,OG0001747
OG0001747::H2,ACS2,1-aminocyclopropane-1-carboxylate synthase CMA101,Cysteine and methionine metabolism,OG0001747
OG0001826::H1,SAHH,Adenosylhomocysteinase,Cysteine and methionine metabolism,OG0001826
OG0001826::H2,SAHH,Adenosylhomocysteinase,Cysteine and methionine metabolism,OG0001826
OG0001828::H1,ACS1,1-aminocyclopropane-1-carboxylate synthase,Cysteine and methionine metabolism,OG0001828
OG0002365::H1,LCD,L-cysteine desulfhydrase,Cysteine and methionine metabolism,OG0002365
OG0002365::H2,Os01g0290100,Putative L-cysteine desulfhydrase 1,Cysteine and methionine metabolism,OG0002365
OG0002589::H1,CHLN,Nicotianamine synthase,Cysteine and methionine metabolism,OG0002589
OG0002589::H2,CHLN,Nicotianamine synthase,Cysteine and methionine metabolism,OG0002589
OG0002614::H2,VIT_05s0020g04070,Acireductone dioxygenase 1,Cysteine and methionine metabolism,OG0002614
OG0002614::H1,VIT_05s0020g04080,Acireductone dioxygenase 2,Cysteine and methionine metabolism,OG0002614
OG0002614::NA,VIT_05s0020g04070,Acireductone dioxygenase 1,Cysteine and methionine metabolism,OG0002614
OG0004167::H1,RCOM_0591060,Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1,Cysteine and methionine metabolism,OG0004167
OG0004167::H2,RCOM_0591060,Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1,Cysteine and methionine metabolism,OG0004167
OG0004419::H1,DMT1,DNA (cytosine-5)-methyltransferase 1,Cysteine and methionine metabolism,OG0004419
OG0004924::H2,MTK,Methylthioribose kinase,Cysteine and methionine metabolism,OG0004924
OG0004924::NA,MTK,Methylthioribose kinase,Cysteine and methionine metabolism,OG0004924
OG0005014::H2,GSH1,Glutamate--cysteine ligase%2C chloroplastic,Cysteine and methionine metabolism,OG0005014
OG0005135::H1,PDP1,PWWP domain-containing protein 1,Cysteine and methionine metabolism,OG0005135
OG0005135::H2,PDP1,PWWP domain-containing protein 1,Cysteine and methionine metabolism,OG0005135
OG0005135::NA,PDP1,PWWP domain-containing protein 1,Cysteine and methionine metabolism,OG0005135
OG0005136::H1,GSH2,Glutathione synthetase%2C chloroplastic,Cysteine and methionine metabolism,OG0005136
OG0005136::H2,GSH2,Glutathione synthetase%2C chloroplastic,Cysteine and methionine metabolism,OG0005136
OG0005240::H1,MTN1,5'-methylthioadenosine nucleosidase,Cysteine and methionine metabolism,OG0005240
OG0005240::H2,MTN1,5'-methylthioadenosine nucleosidase,Cysteine and methionine metabolism,OG0005240
OG0005711::H1,STR1,Thiosulfate/3-mercaptopyruvate sulfurtransferase 1%2C mitochondrial,Cysteine and methionine metabolism,OG0005711
OG0005711::H2,STR1,Thiosulfate/3-mercaptopyruvate sulfurtransferase 1%2C mitochondrial,Cysteine and methionine metabolism,OG0005711
OG0005995::H1,ACS7,1-aminocyclopropane-1-carboxylate synthase 7,Cysteine and methionine metabolism,OG0005995
OG0005995::H2,ACS7,1-aminocyclopropane-1-carboxylate synthase 7,Cysteine and methionine metabolism,OG0005995
OG0006216::H1,SAMDC4,S-adenosylmethionine decarboxylase proenzyme 4,Cysteine and methionine metabolism,OG0006216
OG0006216::H2,SAMDC4,S-adenosylmethionine decarboxylase proenzyme 4,Cysteine and methionine metabolism,OG0006216
OG0006871::H1,CRWN4,Protein CROWDED NUCLEI 4,Cysteine and methionine metabolism,OG0006871
OG0006871::H2,CRWN4,Protein CROWDED NUCLEI 4,Cysteine and methionine metabolism,OG0006871
OG0007248::H1,PSAT1,Phosphoserine aminotransferase 1%2C chloroplastic,Cysteine and methionine metabolism,OG0007248
OG0007248::H2,PSAT1,Phosphoserine aminotransferase 1%2C chloroplastic,Cysteine and methionine metabolism,OG0007248
OG0008395::H2,ybdL,Methionine aminotransferase,Cysteine and methionine metabolism,OG0008395
OG0008940::H2,CAS1,L-3-cyanoalanine synthase 1%2C mitochondrial,Cysteine and methionine metabolism,OG0008940
OG0009348::H1,ACO1,1-aminocyclopropane-1-carboxylate oxidase 1,Cysteine and methionine metabolism,OG0009348
OG0009348::H2,ACO1,1-aminocyclopropane-1-carboxylate oxidase 1,Cysteine and methionine metabolism,OG0009348
OG0009348::NA,ACO1,1-aminocyclopropane-1-carboxylate oxidase 1,Cysteine and methionine metabolism,OG0009348
OG0009697::H2,SAT2,Probable serine acetyltransferase 2,Cysteine and methionine metabolism,OG0009697
OG0009825::H2,Os02g0773300,Putative D-cysteine desulfhydrase 1%2C mitochondrial,Cysteine and methionine metabolism,OG0009825
OG0009922::H1,POPTRDRAFT_832064,Methylthioribose-1-phosphate isomerase,Cysteine and methionine metabolism,OG0009922
OG0010064::H1,cys12,Cysteine synthase 2,Cysteine and methionine metabolism,OG0010064
OG0010064::H2,cys12,Cysteine synthase 2,Cysteine and methionine metabolism,OG0010064
OG0017018::NA,ACS5,1-aminocyclopropane-1-carboxylate synthase 5,Cysteine and methionine metabolism,OG0017018
OG0028813::NA,PDP1,PWWP domain-containing protein 1,Cysteine and methionine metabolism,OG0028813
OG0033584::NA,LCD,L-cysteine desulfhydrase,Cysteine and methionine metabolism,OG0033584
OG0057641::NA,ACO1,1-aminocyclopropane-1-carboxylate oxidase 1,Cysteine and methionine metabolism,OG0057641
OG0021075::NA,ACO1,1-aminocyclopropane-1-carboxylate oxidase 1,Cysteine and methionine metabolism,OG0021075
OG0033018::NA,STR2,Thiosulfate/3-mercaptopyruvate sulfurtransferase 2,Cysteine and methionine metabolism,OG0033018
OG0027645::NA,PGDH1,D-3-phosphoglycerate dehydrogenase 1%2C chloroplastic,Cysteine and methionine metabolism,OG0027645
OG0022409::NA,PGDH3,D-3-phosphoglycerate dehydrogenase 3%2C chloroplastic,Cysteine and methionine metabolism,OG0022409
OG0005416::H1,SUN1,SUN domain-containing protein 1,Cytoskeleton in muscle cells,OG0005416
OG0005416::H2,SUN1,SUN domain-containing protein 1,Cytoskeleton in muscle cells,OG0005416
OG0005856::H1,LYSA2,Diaminopimelate decarboxylase 2%2C chloroplastic,,OG0005856
OG0005856::H2,LYSA2,Diaminopimelate decarboxylase 2%2C chloroplastic,,OG0005856
OG0007434::H1,DAPF,Diaminopimelate epimerase%2C chloroplastic,,OG0007434
OG0007434::H2,DAPF,Diaminopimelate epimerase%2C chloroplastic,,OG0007434
OG0007884::H2,SR,Serine racemase,,OG0007884
OG0028736::H2,At3g26115,D-cysteine desulfhydrase 2%2C mitochondrial,,OG0028736
OG0011111::H2,At3g26115,D-cysteine desulfhydrase 2%2C mitochondrial,,OG0011111
OG0034601::NA,LYSA1,Diaminopimelate decarboxylase 1%2C chloroplastic,,OG0034601
OG0056976::NA,LYSA2,Diaminopimelate decarboxylase 2%2C chloroplastic,,OG0056976
OG0028736::NA,At3g26115,D-cysteine desulfhydrase 2%2C mitochondrial,,OG0028736
OG0042544::NA,LYSA2,Diaminopimelate decarboxylase 2%2C chloroplastic,,OG0042544
OG0004504::H1,,NAD-dependent malic enzyme 59 kDa isoform%2C mitochondrial,Decarboxylation,OG0004504
OG0004504::H2,NAD-ME2,NAD-dependent malic enzyme 59 kDa isoform%2C mitochondrial,Decarboxylation,OG0004504
OG0042271::H1,,NAD-dependent malic enzyme 62 kDa isoform%2C mitochondrial,Decarboxylation,OG0042271
OG0015589::H1,,NAD-dependent malic enzyme 62 kDa isoform%2C mitochondrial,Decarboxylation,OG0015589
OG0015354::H1,,NAD-dependent malic enzyme 62 kDa isoform%2C mitochondrial,Decarboxylation,OG0015354
OG0015417::H1,,NAD-dependent malic enzyme 62 kDa isoform%2C mitochondrial,Decarboxylation,OG0015417
OG0015354::NA,,NAD-dependent malic enzyme 62 kDa isoform%2C mitochondrial,Decarboxylation,OG0015354
OG0000843::H1,,NADP-dependent malic enzyme,Decarboxylation,OG0000843
OG0042509::H1,,NADP-dependent malic enzyme,Decarboxylation,OG0042509
OG0004449::H1,DIT2-1,Dicarboxylate transporter 2.1%2C chloroplastic,Decarboxylation,OG0004449
OG0006972::H1,DIT1,Dicarboxylate transporter 1%2C chloroplastic,Decarboxylation,OG0006972
OG0006972::H2,DIT1,Dicarboxylate transporter 1%2C chloroplastic,Decarboxylation,OG0006972
OG0001958::H1,PUMP5,Mitochondrial uncoupling protein 5,Decarboxylation,OG0001958
OG0001958::H2,PUMP4,Mitochondrial uncoupling protein 4,Decarboxylation,OG0001958
OG0056186::H1,PUMP5,Mitochondrial uncoupling protein 5,Decarboxylation,OG0056186
OG0004345::H1,PCNA,Proliferating cell nuclear antigen,DNA replication,OG0004345
OG0004345::H2,PCNA,Proliferating cell nuclear antigen,DNA replication,OG0004345
OG0005735::H1,FEN1,Flap endonuclease 1,DNA replication,OG0005735
OG0006067::H1,Prim1,DNA primase small subunit,DNA replication,OG0006067
OG0006437::H1,POLD4,DNA polymerase delta subunit 4,DNA replication,OG0006437
OG0006437::H2,POLD4,DNA polymerase delta subunit 4,DNA replication,OG0006437
OG0007040::H2,POLA2,DNA polymerase alpha subunit B,DNA replication,OG0007040
OG0007233::H1,Os01g0868300,DNA polymerase alpha catalytic subunit,DNA replication,OG0007233
OG0007233::H2,Os01g0868300,DNA polymerase alpha catalytic subunit,DNA replication,OG0007233
OG0007526::H1,MCM2,DNA replication licensing factor MCM2,DNA replication,OG0007526
OG0007526::H2,OsI_36121,DNA replication licensing factor MCM2,DNA replication,OG0007526
OG0008503::H2,POLD1,DNA polymerase delta catalytic subunit,DNA replication,OG0008503
OG0008503::NA,POLD1,DNA polymerase delta catalytic subunit,DNA replication,OG0008503
OG0008861::H1,At4g11060,Single-stranded DNA-binding protein%2C mitochondrial,DNA replication,OG0008861
OG0008861::H2,At4g11060,Single-stranded DNA-binding protein%2C mitochondrial,DNA replication,OG0008861
OG0009150::H1,rnaseh2b,Ribonuclease H2 subunit B,DNA replication,OG0009150
OG0009210::H1,Pold3,DNA polymerase delta subunit 3,DNA replication,OG0009210
OG0009571::H1,RNASEH2C,Ribonuclease H2 subunit C,DNA replication,OG0009571
OG0009572::H2,ROA1,DNA replication licensing factor MCM3 homolog 1,DNA replication,OG0009572
OG0011157::H2,RFC3,Replication factor C subunit 3,DNA replication,OG0011157
OG0000526::H1,ECA4,Calcium-transporting ATPase 4%2C endoplasmic reticulum-type,Efferocytosis,OG0000526
OG0000526::H2,ECA4,Calcium-transporting ATPase 4%2C endoplasmic reticulum-type,Efferocytosis,OG0000526
OG0001488::H2,ALIS1,ALA-interacting subunit 1,Efferocytosis,OG0001488
OG0001488::H1,ALIS3,ALA-interacting subunit 3,Efferocytosis,OG0001488
OG0001600::H1,ALA1,Phospholipid-transporting ATPase 1,Efferocytosis,OG0001600
OG0001600::H2,ALA1,Phospholipid-transporting ATPase 1,Efferocytosis,OG0001600
OG0033518::H2,ALA1,Phospholipid-transporting ATPase 1,Efferocytosis,OG0033518
OG0017567::H2,ALA1,Phospholipid-transporting ATPase 1,Efferocytosis,OG0017567
OG0002004::H2,MKK6,Mitogen-activated protein kinase kinase 6,Efferocytosis,OG0002004
OG0002025::H1,laat-1,Lysosomal amino acid transporter 1,Efferocytosis,OG0002025
OG0002025::H2,YPQ1,Probable vacuolar amino acid transporter YPQ1,Efferocytosis,OG0002025
OG0003858::H1,ALA3,Phospholipid-transporting ATPase 3,Efferocytosis,OG0003858
OG0003858::H2,ALA3,Phospholipid-transporting ATPase 3,Efferocytosis,OG0003858
OG0006195::H2,IBR5,Protein-tyrosine-phosphatase IBR5,Efferocytosis,OG0006195
OG0006747::H1,VPS39,Vacuolar sorting protein 39,Efferocytosis,OG0006747
OG0007132::H1,VPS33,Vacuolar protein-sorting-associated protein 33 homolog,Efferocytosis,OG0007132
OG0007255::H1,VPS18,Vacuolar sorting protein 18,Efferocytosis,OG0007255
OG0007600::H1,VPS41,Vacuolar protein sorting-associated protein 41 homolog,Efferocytosis,OG0007600
OG0007600::H2,VPS41,Vacuolar protein sorting-associated protein 41 homolog,Efferocytosis,OG0007600
OG0007813::H1,VPS11,Vacuolar protein-sorting-associated protein 11 homolog,Efferocytosis,OG0007813
OG0007813::H2,VPS11,Vacuolar protein-sorting-associated protein 11 homolog,Efferocytosis,OG0007813
OG0008226::H1,Vps8,Vacuolar protein sorting-associated protein 8 homolog,Efferocytosis,OG0008226
OG0008226::H2,Vps8,Vacuolar protein sorting-associated protein 8 homolog,Efferocytosis,OG0008226
OG0008633::H2,VCL1,Protein VACUOLELESS1,Efferocytosis,OG0008633
OG0009677::H1,VPS3,Vacuolar sorting protein 3,Efferocytosis,OG0009677
OG0011670::H2,ALIS2,Putative ALA-interacting subunit 2,Efferocytosis,OG0011670
OG0033031::H2,ALA3,Phospholipid-transporting ATPase 3,Efferocytosis,OG0033031
OG0015448::H1,VPS41,Vacuolar protein sorting-associated protein 41 homolog,Efferocytosis,OG0015448
OG0015643::H2,VPS41,Vacuolar protein sorting-associated protein 41 homolog,Efferocytosis,OG0015643
OG0025697::NA,VPS11,Vacuolar protein-sorting-associated protein 11 homolog,Efferocytosis,OG0025697
OG0034168::NA,VPS11,Vacuolar protein-sorting-associated protein 11 homolog,Efferocytosis,OG0034168
OG0033518::NA,ALA1,Phospholipid-transporting ATPase 1,Efferocytosis,OG0033518
OG0034727::NA,ALA3,Phospholipid-transporting ATPase 3,Efferocytosis,OG0034727
OG0038619::NA,VPS41,Vacuolar protein sorting-associated protein 41 homolog,Efferocytosis,OG0038619
OG0028217::NA,ECA3,Calcium-transporting ATPase 3%2C endoplasmic reticulum-type,Efferocytosis,OG0028217
OG0042868::NA,ECA3,Calcium-transporting ATPase 3%2C endoplasmic reticulum-type,Efferocytosis,OG0042868
OG0057955::NA,VPS11,Vacuolar protein-sorting-associated protein 11 homolog,Efferocytosis,OG0057955
OG0043070::NA,VPS11,Vacuolar protein-sorting-associated protein 11 homolog,Efferocytosis,OG0043070
OG0017567::NA,ALA1,Phospholipid-transporting ATPase 1,Efferocytosis,OG0017567
OG0033031::NA,ALA3,Phospholipid-transporting ATPase 3,Efferocytosis,OG0033031
OG0022826::NA,ALIS3,ALA-interacting subunit 3,Efferocytosis,OG0022826
OG0023462::NA,ALIS3,ALA-interacting subunit 3,Efferocytosis,OG0023462
OG0000157::H1,ARF,ADP-ribosylation factor 2,Endocytosis,OG0000157
OG0000157::H2,ARF1,ADP-ribosylation factor 1,Endocytosis,OG0000157
OG0000157::NA,Os01g0813400,ADP-ribosylation factor 1,Endocytosis,OG0000157
OG0000317::H1,RAB11D,Ras-related protein Rab11D,Endocytosis,OG0000317
OG0000317::NA,RAB11D,Ras-related protein Rab11D,Endocytosis,OG0000317
OG0000853::H2,RAB11C,Ras-related protein Rab11C,Endocytosis,OG0000853
OG0000853::NA,RAB2BV,Ras-related protein Rab2BV,Endocytosis,OG0000853
OG0000894::H2,RAB5,Ras-related protein Rab5,Endocytosis,OG0000894
OG0000894::H1,RABF2A,Ras-related protein RABF2a,Endocytosis,OG0000894
OG0000894::NA,RAB5A,Ras-related protein Rab5A,Endocytosis,OG0000894
OG0001160::H1,AAP19-1,AP-1 complex subunit sigma-1,Endocytosis,OG0001160
OG0001160::H2,AAP19-2,AP-1 complex subunit sigma-2,Endocytosis,OG0001160
OG0001160::NA,AAP19-2,AP-1 complex subunit sigma-2,Endocytosis,OG0001160
OG0001326::H1,,Ras-related protein Rab7,Endocytosis,OG0001326
OG0001583::H1,ENT3,Epsin-3,Endocytosis,OG0001583
OG0001583::H2,ENT3,Epsin-3,Endocytosis,OG0001583
OG0002673::H1,AMSH3,AMSH-like ubiquitin thioesterase 3,Endocytosis,OG0002673
OG0003548::H1,,Ras-related protein Rab7,Endocytosis,OG0003548
OG0003548::H2,,Ras-related protein Rab7,Endocytosis,OG0003548
OG0004317::H1,,ADP-ribosylation factor,Endocytosis,OG0004317
OG0004317::H2,,ADP-ribosylation factor,Endocytosis,OG0004317
OG0004317::NA,ARF,ADP-ribosylation factor,Endocytosis,OG0004317
OG0008067::H1,SPG21,Maspardin,Endocytosis,OG0008067
OG0008067::H2,SPG21,Maspardin,Endocytosis,OG0008067
OG0009029::H1,RABF1,Ras-related protein RABF1,Endocytosis,OG0009029
OG0009029::H2,RABF1,Ras-related protein RABF1,Endocytosis,OG0009029
OG0011672::H2,AMSH3,AMSH-like ubiquitin thioesterase 3,Endocytosis,OG0011672
OG0001014::H2,NPC1,Non-specific phospholipase C1,Ether lipid metabolism,OG0001014
OG0017138::H2,NPC2,Non-specific phospholipase C2,Ether lipid metabolism,OG0017138
OG0001364::H1,PLDDELTA,Phospholipase D delta,Ether lipid metabolism,OG0001364
OG0015694::H2,PLDDELTA,Phospholipase D delta,Ether lipid metabolism,OG0015694
OG0001364::H2,PLDDELTA,Phospholipase D delta,Ether lipid metabolism,OG0001364
OG0001573::H1,PLDBETA1,Phospholipase D beta 1,Ether lipid metabolism,OG0001573
OG0001573::H2,PLDBETA1,Phospholipase D beta 1,Ether lipid metabolism,OG0001573
OG0003262::H1,PLDZETA1,Phospholipase D zeta 1,Ether lipid metabolism,OG0003262
OG0003262::H2,PLDZETA1,Phospholipase D zeta 1,Ether lipid metabolism,OG0003262
OG0003530::H2,AAPT1,Choline/ethanolaminephosphotransferase 1,Ether lipid metabolism,OG0003530
OG0003530::H1,AAPT1,Choline/ethanolaminephosphotransferase 1,Ether lipid metabolism,OG0003530
OG0003530::NA,AAPT1,Choline/ethanolaminephosphotransferase 1,Ether lipid metabolism,OG0003530
OG0003806::H1,SDP1,Triacylglycerol lipase SDP1,Ether lipid metabolism,OG0003806
OG0003806::H2,SDP1,Triacylglycerol lipase SDP1,Ether lipid metabolism,OG0003806
OG0004663::H1,LPCAT1,Lysophospholipid acyltransferase 1,Ether lipid metabolism,OG0004663
OG0004663::H2,LPCAT1,Lysophospholipid acyltransferase 1,Ether lipid metabolism,OG0004663
OG0005371::H1,LPEAT1,Lysophospholipid acyltransferase LPEAT1,Ether lipid metabolism,OG0005371
OG0005371::H2,LPEAT1,Lysophospholipid acyltransferase LPEAT1,Ether lipid metabolism,OG0005371
OG0005495::H1,LPEAT2,Lysophospholipid acyltransferase LPEAT2,Ether lipid metabolism,OG0005495
OG0005495::H2,LPEAT2,Lysophospholipid acyltransferase LPEAT2,Ether lipid metabolism,OG0005495
OG0006158::H1,PLA2-ALPHA,Phospholipase A2-alpha,Ether lipid metabolism,OG0006158
OG0006688::H1,NPC6,Non-specific phospholipase C6,Ether lipid metabolism,OG0006688
OG0006688::H2,NPC6,Non-specific phospholipase C6,Ether lipid metabolism,OG0006688
OG0033769::H2,NPC1,Non-specific phospholipase C1,Ether lipid metabolism,OG0033769
OG0034702::NA,PLDBETA1,Phospholipase D beta 1,Ether lipid metabolism,OG0034702
OG0021376::H2,PLDBETA1,Phospholipase D beta 1,Ether lipid metabolism,OG0021376
